Godot Engine v4.5.stable.official.876b29033 - https://godotengine.org
Vulkan 1.3.215 - Forward+ - Using Device #0: Intel - Intel(R) UHD Graphics

State changed to: 1
Fajen raw_accel: (-0.061486, -0.284251) | applied: (-0.061486, -0.284251) | virtual_vel: (0.025279, 0.169113) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.060043, -0.284904) | applied: (-0.060043, -0.284904) | virtual_vel: (0.024278, 0.164365) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.058589, -0.284955) | applied: (-0.058589, -0.284955) | virtual_vel: (0.023302, 0.159616) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.057129, -0.284444) | applied: (-0.057129, -0.284444) | virtual_vel: (0.02235, 0.154875) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.055665, -0.283411) | applied: (-0.055665, -0.283411) | virtual_vel: (0.021422, 0.150151) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.054203, -0.281893) | applied: (-0.054203, -0.281893) | virtual_vel: (0.020519, 0.145453) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.052744, -0.279928) | applied: (-0.052744, -0.279928) | virtual_vel: (0.01964, 0.140788) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.051292, -0.277548) | applied: (-0.051292, -0.277548) | virtual_vel: (0.018785, 0.136162) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.049848, -0.274787) | applied: (-0.049848, -0.274787) | virtual_vel: (0.017954, 0.131582) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.048417, -0.271677) | applied: (-0.048417, -0.271677) | virtual_vel: (0.017147, 0.127054) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.046999, -0.268247) | applied: (-0.046999, -0.268247) | virtual_vel: (0.016364, 0.122583) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.045596, -0.264527) | applied: (-0.045596, -0.264527) | virtual_vel: (0.015604, 0.118175) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.044212, -0.260542) | applied: (-0.044212, -0.260542) | virtual_vel: (0.014867, 0.113832) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.042846, -0.25632) | applied: (-0.042846, -0.25632) | virtual_vel: (0.014153, 0.10956) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.041501, -0.251884) | applied: (-0.041501, -0.251884) | virtual_vel: (0.013461, 0.105362) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.040177, -0.247259) | applied: (-0.040177, -0.247259) | virtual_vel: (0.012791, 0.101241) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.038877, -0.242465) | applied: (-0.038877, -0.242465) | virtual_vel: (0.012143, 0.0972) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.0376, -0.237525) | applied: (-0.0376, -0.237525) | virtual_vel: (0.011517, 0.093241) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.036347, -0.232457) | applied: (-0.036347, -0.232457) | virtual_vel: (0.010911, 0.089367) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.035121, -0.227281) | applied: (-0.035121, -0.227281) | virtual_vel: (0.010326, 0.085579) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.03392, -0.222015) | applied: (-0.03392, -0.222015) | virtual_vel: (0.00976, 0.081879) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.032746, -0.216673) | applied: (-0.032746, -0.216673) | virtual_vel: (0.009215, 0.078268) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.031598, -0.211274) | applied: (-0.031598, -0.211274) | virtual_vel: (0.008688, 0.074746) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.030478, -0.20583) | applied: (-0.030478, -0.20583) | virtual_vel: (0.00818, 0.071316) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.029385, -0.200357) | applied: (-0.029385, -0.200357) | virtual_vel: (0.00769, 0.067977) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.02832, -0.194866) | applied: (-0.02832, -0.194866) | virtual_vel: (0.007218, 0.064729) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.027283, -0.189369) | applied: (-0.027283, -0.189369) | virtual_vel: (0.006764, 0.061573) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.026273, -0.183879) | applied: (-0.026273, -0.183879) | virtual_vel: (0.006326, 0.058508) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.025291, -0.178405) | applied: (-0.025291, -0.178405) | virtual_vel: (0.005904, 0.055535) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.024336, -0.172958) | applied: (-0.024336, -0.172958) | virtual_vel: (0.005499, 0.052652) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.023408, -0.167545) | applied: (-0.023408, -0.167545) | virtual_vel: (0.005108, 0.04986) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.022508, -0.162176) | applied: (-0.022508, -0.162176) | virtual_vel: (0.004733, 0.047157) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.021634, -0.156858) | applied: (-0.021634, -0.156858) | virtual_vel: (0.004373, 0.044542) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.020787, -0.151598) | applied: (-0.020787, -0.151598) | virtual_vel: (0.004026, 0.042016) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.019967, -0.146403) | applied: (-0.019967, -0.146403) | virtual_vel: (0.003693, 0.039576) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.019172, -0.141278) | applied: (-0.019172, -0.141278) | virtual_vel: (0.003374, 0.037221) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.018403, -0.136229) | applied: (-0.018403, -0.136229) | virtual_vel: (0.003067, 0.034951) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.017659, -0.13126) | applied: (-0.017659, -0.13126) | virtual_vel: (0.002773, 0.032763) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.01694, -0.126376) | applied: (-0.01694, -0.126376) | virtual_vel: (0.002491, 0.030657) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.016244, -0.121581) | applied: (-0.016244, -0.121581) | virtual_vel: (0.00222, 0.02863) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.015573, -0.116879) | applied: (-0.015573, -0.116879) | virtual_vel: (0.00196, 0.026682) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.014925, -0.112271) | applied: (-0.014925, -0.112271) | virtual_vel: (0.001712, 0.024811) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.014299, -0.107761) | applied: (-0.014299, -0.107761) | virtual_vel: (0.001473, 0.023015) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.013696, -0.103351) | applied: (-0.013696, -0.103351) | virtual_vel: (0.001245, 0.021293) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.013115, -0.099043) | applied: (-0.013115, -0.099043) | virtual_vel: (0.001026, 0.019642) | repulsion: 0.0 | danger_throttle: 1.0
Fajen raw_accel: (-0.012555, -0.094839) | applied: (-0.012555, -0.094839) | virtual_vel: (0.000817, 0.018061) | repulsion: 0.0 | danger_throttle: 1.0
